ix,iy,count,n_genera,n_observers,n_captive,last_observed,median_last10_observed
-1408082,772729,1,1,1,0,2017-05-13,2017-05-13
-1408082,772796,1,1,1,0,2019-04-27,2019-04-27
-1408079,772752,1,1,1,0,2017-05-13,2017-05-13
-1408079,774080,1,1,1,0,2016-10-06,2016-10-06
-1408075,772756,3,3,1,0,2017-05-13,2017-05-13
-1408073,773067,1,1,1,0,2018-10-08,2018-10-08
-1408072,773065,2,2,1,1,2018-10-08,2018-10-08
-1408070,770847,1,1,1,0,2019-06-05,2019-06-05
-1408070,772782,1,1,1,0,2019-04-19,2019-04-19
-1408070,773267,1,1,1,1,2019-06-10,2019-06-10
-1408066,772712,1,1,1,0,2019-04-13,2019-04-13
-1408066,772713,1,1,1,0,2019-04-13,2019-04-13
-1408066,772804,3,2,1,0,2017-05-13,2017-05-13
-1408065,772296,1,1,1,0,2018-09-05,2018-09-05
-1408064,772768,1,1,1,0,2017-05-13,2017-05-13
-1408064,772782,3,3,1,0,2017-05-13,2017-05-13
-1408064,772802,1,1,1,0,2017-05-13,2017-05-13
-1408063,773312,1,1,1,1,2016-06-01,2016-06-01
-1408058,772772,1,1,1,0,2017-05-13,2017-05-13
-1408058,772793,1,1,1,0,2017-05-13,2017-05-13
-1408048,772762,1,1,1,0,2019-04-27,2019-04-27
-1408047,772855,1,1,1,1,2019-06-18,2019-06-18
-1408046,770974,1,1,1,0,2016-04-01,2016-04-01
-1408046,772761,1,1,1,0,2018-10-07,2018-10-07
-1408045,772907,1,1,1,1,2018-04-30,2018-04-30
-1408043,772905,1,1,1,1,2018-04-30,2018-04-30
-1408037,772860,2,2,1,0,2018-05-01,2018-05-01
-1408032,772838,1,1,1,0,2019-05-03,2019-05-03
-1408032,772925,1,1,1,1,2019-05-22,2019-05-22
-1408029,772927,1,1,1,1,2019-05-22,2019-05-22
-1408028,772926,1,1,1,1,2019-07-13,2019-07-13
-1408027,772925,2,2,1,2,2019-07-13,2019-06-28
-1408025,772748,1,1,1,0,2019-04-27,2019-04-27
-1408025,772926,1,1,1,0,2019-06-30,2019-06-30
-1408024,773186,1,1,1,0,2019-04-17,2019-04-17
-1408024,773535,1,1,1,0,2017-12-03,2017-12-03
-1408024,774382,1,1,1,1,2019-04-13,2019-04-13
-1408021,772688,1,1,1,0,2018-04-14,2018-04-14
-1408020,772677,1,1,1,0,2018-04-28,2018-04-28
-1408015,772673,1,1,1,0,2018-04-28,2018-04-28
-1408015,772770,1,1,1,1,2018-07-04,2018-07-04
-1408014,772810,1,1,1,0,2019-06-16,2019-06-16
-1408013,772664,1,1,1,0,2018-10-07,2018-10-07
-1408012,772660,1,1,1,0,2019-05-27,2019-05-27
-1408011,772774,1,1,1,1,2018-07-04,2018-07-04
-1408011,772840,1,1,1,0,2019-07-08,2019-07-08
-1408011,772842,1,1,1,0,2019-06-12,2019-06-12
-1408010,772729,1,1,1,0,2019-04-27,2019-04-27
-1408008,772661,1,1,1,0,2016-05-10,2016-05-10
-1408008,772663,1,1,1,0,2018-10-07,2018-10-07
-1408008,772783,1,1,1,0,2019-05-11,2019-05-11
-1408005,772742,1,1,1,0,2018-03-20,2018-03-20
-1408005,772787,1,1,1,0,2018-07-04,2018-07-04
-1408004,772783,1,1,1,0,2018-10-18,2018-10-18
